pp_mode,init_eq,tau_p_a,tau_p_b,kappa,GAB,GBA,sigmaA,epsilon_huang,k2_huang,kd_huang,alpha_meq,cs_a,cs_b,cs_R,cs_G,huang_xc,huang_yc,huang_W,huang_init_mode,Gx,Gy,drive_mode,ENABLE_CKPT,OUTPUT_EVERY,case_name,cs_T,huang_R0,huang_rho_g,huang_rho_l
1,0,1.0,1.0,0.0,0.0,0.0,0.0,-0.6666666666666666,0.0,-0.08333333333333333,1.0,1.0,4.0,1.0,-1.0,128.0,128.0,3.0,1,0.0,0.0,1,False,5000,laplace_Tr0.70_R20,0.7,20,0.009291723045748643,0.3581443948747237
1,0,1.0,1.0,0.0,0.0,0.0,0.0,-0.6666666666666666,0.0,-0.08333333333333333,1.0,1.0,4.0,1.0,-1.0,128.0,128.0,3.0,1,0.0,0.0,1,False,5000,laplace_Tr0.70_R25,0.7,25,0.009291723045748643,0.3581443948747237
1,0,1.0,1.0,0.0,0.0,0.0,0.0,-0.6666666666666666,0.0,-0.08333333333333333,1.0,1.0,4.0,1.0,-1.0,128.0,128.0,3.0,1,0.0,0.0,1,False,5000,laplace_Tr0.70_R30,0.7,30,0.009291723045748643,0.3581443948747237
1,0,1.0,1.0,0.0,0.0,0.0,0.0,-0.6666666666666666,0.0,-0.08333333333333333,1.0,1.0,4.0,1.0,-1.0,128.0,128.0,3.0,1,0.0,0.0,1,False,5000,laplace_Tr0.70_R35,0.7,35,0.009291723045748643,0.3581443948747237
1,0,1.0,1.0,0.0,0.0,0.0,0.0,-0.6666666666666666,0.0,-0.08333333333333333,1.0,1.0,4.0,1.0,-1.0,128.0,128.0,3.0,1,0.0,0.0,1,False,5000,laplace_Tr0.70_R40,0.7,40,0.009291723045748643,0.3581443948747237
1,0,1.0,1.0,0.0,0.0,0.0,0.0,-0.6666666666666666,0.0,-0.08333333333333333,1.0,1.0,4.0,1.0,-1.0,128.0,128.0,3.0,1,0.0,0.0,1,False,5000,laplace_Tr0.70_R45,0.7,45,0.009291723045748643,0.3581443948747237
1,0,1.0,1.0,0.0,0.0,0.0,0.0,-0.6666666666666666,0.0,-0.08333333333333333,1.0,1.0,4.0,1.0,-1.0,128.0,128.0,3.0,1,0.0,0.0,1,False,5000,laplace_Tr0.70_R50,0.7,50,0.009291723045748643,0.3581443948747237
1,0,1.0,1.0,0.0,0.0,0.0,0.0,-0.6666666666666666,0.0,-0.08333333333333333,1.0,1.0,4.0,1.0,-1.0,128.0,128.0,3.0,1,0.0,0.0,1,False,5000,laplace_Tr0.70_R55,0.7,55,0.009291723045748643,0.3581443948747237
1,0,1.0,1.0,0.0,0.0,0.0,0.0,-0.6666666666666666,0.0,-0.08333333333333333,1.0,1.0,4.0,1.0,-1.0,128.0,128.0,3.0,1,0.0,0.0,1,False,5000,laplace_Tr0.70_R60,0.7,60,0.009291723045748643,0.3581443948747237
1,0,1.0,1.0,0.0,0.0,0.0,0.0,-0.6666666666666666,0.0,-0.08333333333333333,1.0,1.0,4.0,1.0,-1.0,128.0,128.0,3.0,1,0.0,0.0,1,False,5000,laplace_Tr0.90_R20,0.9,20,0.045409459970752464,0.2481079779474363
1,0,1.0,1.0,0.0,0.0,0.0,0.0,-0.6666666666666666,0.0,-0.08333333333333333,1.0,1.0,4.0,1.0,-1.0,128.0,128.0,3.0,1,0.0,0.0,1,False,5000,laplace_Tr0.90_R25,0.9,25,0.045409459970752464,0.2481079779474363
1,0,1.0,1.0,0.0,0.0,0.0,0.0,-0.6666666666666666,0.0,-0.08333333333333333,1.0,1.0,4.0,1.0,-1.0,128.0,128.0,3.0,1,0.0,0.0,1,False,5000,laplace_Tr0.90_R30,0.9,30,0.045409459970752464,0.2481079779474363
1,0,1.0,1.0,0.0,0.0,0.0,0.0,-0.6666666666666666,0.0,-0.08333333333333333,1.0,1.0,4.0,1.0,-1.0,128.0,128.0,3.0,1,0.0,0.0,1,False,5000,laplace_Tr0.90_R35,0.9,35,0.045409459970752464,0.2481079779474363
1,0,1.0,1.0,0.0,0.0,0.0,0.0,-0.6666666666666666,0.0,-0.08333333333333333,1.0,1.0,4.0,1.0,-1.0,128.0,128.0,3.0,1,0.0,0.0,1,False,5000,laplace_Tr0.90_R40,0.9,40,0.045409459970752464,0.2481079779474363
1,0,1.0,1.0,0.0,0.0,0.0,0.0,-0.6666666666666666,0.0,-0.08333333333333333,1.0,1.0,4.0,1.0,-1.0,128.0,128.0,3.0,1,0.0,0.0,1,False,5000,laplace_Tr0.90_R45,0.9,45,0.045409459970752464,0.2481079779474363
1,0,1.0,1.0,0.0,0.0,0.0,0.0,-0.6666666666666666,0.0,-0.08333333333333333,1.0,1.0,4.0,1.0,-1.0,128.0,128.0,3.0,1,0.0,0.0,1,False,5000,laplace_Tr0.90_R50,0.9,50,0.045409459970752464,0.2481079779474363
1,0,1.0,1.0,0.0,0.0,0.0,0.0,-0.6666666666666666,0.0,-0.08333333333333333,1.0,1.0,4.0,1.0,-1.0,128.0,128.0,3.0,1,0.0,0.0,1,False,5000,laplace_Tr0.90_R55,0.9,55,0.045409459970752464,0.2481079779474363
1,0,1.0,1.0,0.0,0.0,0.0,0.0,-0.6666666666666666,0.0,-0.08333333333333333,1.0,1.0,4.0,1.0,-1.0,128.0,128.0,3.0,1,0.0,0.0,1,False,5000,laplace_Tr0.90_R60,0.9,60,0.045409459970752464,0.2481079779474363
