pp_mode,init_eq,tau_p_a,tau_p_b,kappa,GAB,GBA,sigmaA,k1_huang,k2_huang,kd_huang,alpha_meq,cs_a,cs_b,cs_R,cs_G,huang_W,Gx,Gy,drive_mode,ENABLE_CKPT,OUTPUT_EVERY,case_name,cs_T,huang_init_mode,huang_R0,huang_rho_g,huang_rho_l,app,huang_xc,huang_yc
1,0,1.0,1.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,-0.08333333333333333,1.0,1.0,4.0,1.0,-1.0,3.0,0.0,0.0,1,False,5000,laplace_Tr0.70_R20,0.7,1,20.0,0.009291723045748643,0.3581443948747237,/home/server/projects/lbm_twoflow/complex-porous-media/worktrees/huang_mrt_2d/lbm_mrt/solver/mcmp_huang_256_s50000,,
1,0,1.0,1.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,-0.08333333333333333,1.0,1.0,4.0,1.0,-1.0,3.0,0.0,0.0,1,False,5000,laplace_Tr0.70_R30,0.7,1,30.0,0.009291723045748643,0.3581443948747237,/home/server/projects/lbm_twoflow/complex-porous-media/worktrees/huang_mrt_2d/lbm_mrt/solver/mcmp_huang_256_s50000,,
1,0,1.0,1.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,-0.08333333333333333,1.0,1.0,4.0,1.0,-1.0,3.0,0.0,0.0,1,False,5000,laplace_Tr0.70_R40,0.7,1,40.0,0.009291723045748643,0.3581443948747237,/home/server/projects/lbm_twoflow/complex-porous-media/worktrees/huang_mrt_2d/lbm_mrt/solver/mcmp_huang_256_s50000,,
1,0,1.0,1.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,-0.08333333333333333,1.0,1.0,4.0,1.0,-1.0,3.0,0.0,0.0,1,False,5000,laplace_Tr0.70_R50,0.7,1,50.0,0.009291723045748643,0.3581443948747237,/home/server/projects/lbm_twoflow/complex-porous-media/worktrees/huang_mrt_2d/lbm_mrt/solver/mcmp_huang_256_s50000,,
1,0,1.0,1.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,-0.08333333333333333,1.0,1.0,4.0,1.0,-1.0,3.0,0.0,0.0,1,False,5000,laplace_Tr0.70_R60,0.7,1,60.0,0.009291723045748643,0.3581443948747237,/home/server/projects/lbm_twoflow/complex-porous-media/worktrees/huang_mrt_2d/lbm_mrt/solver/mcmp_huang_256_s50000,,
1,0,1.0,1.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,-0.08333333333333333,1.0,1.0,4.0,1.0,-1.0,3.0,0.0,0.0,1,False,5000,laplace_Tr0.90_R20,0.9,1,20.0,0.045409459970752464,0.2481079779474363,/home/server/projects/lbm_twoflow/complex-porous-media/worktrees/huang_mrt_2d/lbm_mrt/solver/mcmp_huang_256_s50000,,
1,0,1.0,1.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,-0.08333333333333333,1.0,1.0,4.0,1.0,-1.0,3.0,0.0,0.0,1,False,5000,laplace_Tr0.90_R30,0.9,1,30.0,0.045409459970752464,0.2481079779474363,/home/server/projects/lbm_twoflow/complex-porous-media/worktrees/huang_mrt_2d/lbm_mrt/solver/mcmp_huang_256_s50000,,
1,0,1.0,1.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,-0.08333333333333333,1.0,1.0,4.0,1.0,-1.0,3.0,0.0,0.0,1,False,5000,laplace_Tr0.90_R40,0.9,1,40.0,0.045409459970752464,0.2481079779474363,/home/server/projects/lbm_twoflow/complex-porous-media/worktrees/huang_mrt_2d/lbm_mrt/solver/mcmp_huang_256_s50000,,
1,0,1.0,1.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,-0.08333333333333333,1.0,1.0,4.0,1.0,-1.0,3.0,0.0,0.0,1,False,5000,laplace_Tr0.90_R50,0.9,1,50.0,0.045409459970752464,0.2481079779474363,/home/server/projects/lbm_twoflow/complex-porous-media/worktrees/huang_mrt_2d/lbm_mrt/solver/mcmp_huang_256_s50000,,
1,0,1.0,1.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,-0.08333333333333333,1.0,1.0,4.0,1.0,-1.0,3.0,0.0,0.0,1,False,5000,laplace_Tr0.90_R60,0.9,1,60.0,0.045409459970752464,0.2481079779474363,/home/server/projects/lbm_twoflow/complex-porous-media/worktrees/huang_mrt_2d/lbm_mrt/solver/mcmp_huang_256_s50000,,
1,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08333333333333333,1.0,1.0,4.0,1.0,-1.0,3.0,0.0,0.0,1,False,5000,decoupling_Tr0.70_k10.0000,0.7,1,40.0,0.009291723045748643,0.3581443948747237,/home/server/projects/lbm_twoflow/complex-porous-media/worktrees/huang_mrt_2d/lbm_mrt/solver/mcmp_huang_256_s50000,128.0,128.0
1,0,1.0,1.0,0.0,0.0,0.0,0.0,0.05,0.0,-0.08333333333333333,1.0,1.0,4.0,1.0,-1.0,3.0,0.0,0.0,1,False,5000,decoupling_Tr0.70_k10.0500,0.7,1,40.0,0.009291723045748643,0.3581443948747237,/home/server/projects/lbm_twoflow/complex-porous-media/worktrees/huang_mrt_2d/lbm_mrt/solver/mcmp_huang_256_s50000,128.0,128.0
1,0,1.0,1.0,0.0,0.0,0.0,0.0,0.1,0.0,-0.08333333333333333,1.0,1.0,4.0,1.0,-1.0,3.0,0.0,0.0,1,False,5000,decoupling_Tr0.70_k10.1000,0.7,1,40.0,0.009291723045748643,0.3581443948747237,/home/server/projects/lbm_twoflow/complex-porous-media/worktrees/huang_mrt_2d/lbm_mrt/solver/mcmp_huang_256_s50000,128.0,128.0
1,0,1.0,1.0,0.0,0.0,0.0,0.0,0.15,0.0,-0.08333333333333333,1.0,1.0,4.0,1.0,-1.0,3.0,0.0,0.0,1,False,5000,decoupling_Tr0.70_k10.1500,0.7,1,40.0,0.009291723045748643,0.3581443948747237,/home/server/projects/lbm_twoflow/complex-porous-media/worktrees/huang_mrt_2d/lbm_mrt/solver/mcmp_huang_256_s50000,128.0,128.0
1,0,1.0,1.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,-0.08333333333333333,1.0,1.0,4.0,1.0,-1.0,5.0,0.0,0.0,1,False,5000,coex_Tr0.65,0.65,2,,0.005585326103382763,0.3823476500401242,/home/server/projects/lbm_twoflow/complex-porous-media/worktrees/huang_mrt_2d/lbm_mrt/solver/mcmp_huang_256_s50000,,64.0
