case_name,geom_file,Gx,tau_huang,thetaA_quartz_deg,thetaA_hydrate_deg,OUTPUT_EVERY,file_dir,hs_case_tag,hs_mode,hs_target_Sh
cgan_00000_Gx1e-05,/home/server/projects/lbm_twoflow/complex-porous-media/hydrate_structure/data/cases/hydrate_ct_cgan_lbm_match_optimized/cgan_00000/geometry_case.plt,1.00000000e-05,1.5,30,30,5000,/home/server/projects/lbm_twoflow/complex-porous-media/hydrate_structure/results/20260526/cgan_00000_Gx1e-05,cgan_00000,cgan,-1.0
cgan_00000_Gx5e-05,/home/server/projects/lbm_twoflow/complex-porous-media/hydrate_structure/data/cases/hydrate_ct_cgan_lbm_match_optimized/cgan_00000/geometry_case.plt,5.00000000e-05,1.5,30,30,5000,/home/server/projects/lbm_twoflow/complex-porous-media/hydrate_structure/results/20260526/cgan_00000_Gx5e-05,cgan_00000,cgan,-1.0
cgan_00001_Gx1e-05,/home/server/projects/lbm_twoflow/complex-porous-media/hydrate_structure/data/cases/hydrate_ct_cgan_lbm_match_optimized/cgan_00001/geometry_case.plt,1.00000000e-05,1.5,30,30,5000,/home/server/projects/lbm_twoflow/complex-porous-media/hydrate_structure/results/20260526/cgan_00001_Gx1e-05,cgan_00001,cgan,-1.0
cgan_00001_Gx5e-05,/home/server/projects/lbm_twoflow/complex-porous-media/hydrate_structure/data/cases/hydrate_ct_cgan_lbm_match_optimized/cgan_00001/geometry_case.plt,5.00000000e-05,1.5,30,30,5000,/home/server/projects/lbm_twoflow/complex-porous-media/hydrate_structure/results/20260526/cgan_00001_Gx5e-05,cgan_00001,cgan,-1.0
cgan_00002_Gx1e-05,/home/server/projects/lbm_twoflow/complex-porous-media/hydrate_structure/data/cases/hydrate_ct_cgan_lbm_match_optimized/cgan_00002/geometry_case.plt,1.00000000e-05,1.5,30,30,5000,/home/server/projects/lbm_twoflow/complex-porous-media/hydrate_structure/results/20260526/cgan_00002_Gx1e-05,cgan_00002,cgan,-1.0
cgan_00002_Gx5e-05,/home/server/projects/lbm_twoflow/complex-porous-media/hydrate_structure/data/cases/hydrate_ct_cgan_lbm_match_optimized/cgan_00002/geometry_case.plt,5.00000000e-05,1.5,30,30,5000,/home/server/projects/lbm_twoflow/complex-porous-media/hydrate_structure/results/20260526/cgan_00002_Gx5e-05,cgan_00002,cgan,-1.0
cgan_00003_Gx1e-05,/home/server/projects/lbm_twoflow/complex-porous-media/hydrate_structure/data/cases/hydrate_ct_cgan_lbm_match_optimized/cgan_00003/geometry_case.plt,1.00000000e-05,1.5,30,30,5000,/home/server/projects/lbm_twoflow/complex-porous-media/hydrate_structure/results/20260526/cgan_00003_Gx1e-05,cgan_00003,cgan,-1.0
cgan_00003_Gx5e-05,/home/server/projects/lbm_twoflow/complex-porous-media/hydrate_structure/data/cases/hydrate_ct_cgan_lbm_match_optimized/cgan_00003/geometry_case.plt,5.00000000e-05,1.5,30,30,5000,/home/server/projects/lbm_twoflow/complex-porous-media/hydrate_structure/results/20260526/cgan_00003_Gx5e-05,cgan_00003,cgan,-1.0
cgan_00004_Gx1e-05,/home/server/projects/lbm_twoflow/complex-porous-media/hydrate_structure/data/cases/hydrate_ct_cgan_lbm_match_optimized/cgan_00004/geometry_case.plt,1.00000000e-05,1.5,30,30,5000,/home/server/projects/lbm_twoflow/complex-porous-media/hydrate_structure/results/20260526/cgan_00004_Gx1e-05,cgan_00004,cgan,-1.0
cgan_00004_Gx5e-05,/home/server/projects/lbm_twoflow/complex-porous-media/hydrate_structure/data/cases/hydrate_ct_cgan_lbm_match_optimized/cgan_00004/geometry_case.plt,5.00000000e-05,1.5,30,30,5000,/home/server/projects/lbm_twoflow/complex-porous-media/hydrate_structure/results/20260526/cgan_00004_Gx5e-05,cgan_00004,cgan,-1.0
