exp_id,exp_id_str,case_name,geom_id,geom_mode,Sh_clean,geometry_src,morph,r_obs,l_gap,coat_thick,r_mid,Sw,thetaA_hydrate_deg,water_seed,thetaA_quartz_deg,GBw_quartz,GBw_hydrate,Gx,Gy,drive_mode,init_eq
1,EXP0001,geom0001_pf_Sh0.10_Sw0.00,1,pf,0.103502,/home/server/projects/lbm_twoflow/complex_8.23/lbm_mrt/data/geometry/case0001_pf/geometry_case0001.plt,0,20,20,0,0,0.0,60,1234567,30,0.0,0.0,8e-05,0.0,1,1
2,EXP0002,geom0001_pf_Sh0.10_Sw0.10,1,pf,0.103502,/home/server/projects/lbm_twoflow/complex_8.23/lbm_mrt/data/geometry/case0001_pf/geometry_case0001.plt,0,20,20,0,0,0.1,60,1234567,30,0.0,0.0,8e-05,0.0,1,1
3,EXP0003,geom0001_pf_Sh0.10_Sw0.20,1,pf,0.103502,/home/server/projects/lbm_twoflow/complex_8.23/lbm_mrt/data/geometry/case0001_pf/geometry_case0001.plt,0,20,20,0,0,0.2,60,1234567,30,0.0,0.0,8e-05,0.0,1,1
4,EXP0004,geom0001_pf_Sh0.10_Sw0.30,1,pf,0.103502,/home/server/projects/lbm_twoflow/complex_8.23/lbm_mrt/data/geometry/case0001_pf/geometry_case0001.plt,0,20,20,0,0,0.3,60,1234567,30,0.0,0.0,8e-05,0.0,1,1
5,EXP0005,geom0001_pf_Sh0.10_Sw0.40,1,pf,0.103502,/home/server/projects/lbm_twoflow/complex_8.23/lbm_mrt/data/geometry/case0001_pf/geometry_case0001.plt,0,20,20,0,0,0.4,60,1234567,30,0.0,0.0,8e-05,0.0,1,1
6,EXP0006,geom0001_pf_Sh0.10_Sw0.50,1,pf,0.103502,/home/server/projects/lbm_twoflow/complex_8.23/lbm_mrt/data/geometry/case0001_pf/geometry_case0001.plt,0,20,20,0,0,0.5,60,1234567,30,0.0,0.0,8e-05,0.0,1,1
7,EXP0007,geom0001_pf_Sh0.10_Sw0.60,1,pf,0.103502,/home/server/projects/lbm_twoflow/complex_8.23/lbm_mrt/data/geometry/case0001_pf/geometry_case0001.plt,0,20,20,0,0,0.6,60,1234567,30,0.0,0.0,8e-05,0.0,1,1
8,EXP0008,geom0001_pf_Sh0.10_Sw0.70,1,pf,0.103502,/home/server/projects/lbm_twoflow/complex_8.23/lbm_mrt/data/geometry/case0001_pf/geometry_case0001.plt,0,20,20,0,0,0.7,60,1234567,30,0.0,0.0,8e-05,0.0,1,1
9,EXP0009,geom0001_pf_Sh0.10_Sw0.80,1,pf,0.103502,/home/server/projects/lbm_twoflow/complex_8.23/lbm_mrt/data/geometry/case0001_pf/geometry_case0001.plt,0,20,20,0,0,0.8,60,1234567,30,0.0,0.0,8e-05,0.0,1,1
10,EXP0010,geom0001_pf_Sh0.10_Sw0.90,1,pf,0.103502,/home/server/projects/lbm_twoflow/complex_8.23/lbm_mrt/data/geometry/case0001_pf/geometry_case0001.plt,0,20,20,0,0,0.9,60,1234567,30,0.0,0.0,8e-05,0.0,1,1
