case_name,pp_mode,init_eq,tau_p_a,tau_p_b,kappa,GAB,GBA,sigmaA,epsilon_huang,k2_huang,alpha_meq,cs_a,cs_b,cs_R,cs_T,cs_G,huang_R0,huang_xc,huang_yc,huang_W,huang_init_mode,huang_rho_g,huang_rho_l,Gx,Gy,drive_mode,ENABLE_CKPT,OUTPUT_EVERY,huang_u_max,huang_psi_cut,huang_tanh_factor,huang_rho_max_init,tau_huang,Lambda_huang,G_ads,theta_contact_deg
coex_eps1_Tr0.60,1,0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,4.0,1.0,0.6,-1.0,98,128,128,5.0,2,0.0030805179305305745,0.4062153507690336,0.0,0.0,1,False,5000,0.15,0.001,2.0,1.0,1.5,0.0833333333333333,0.0,0.0
coex_eps1_Tr0.65,1,0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,4.0,1.0,0.65,-1.0,98,128,128,5.0,2,0.005585326103382763,0.3823476500401242,0.0,0.0,1,False,5000,0.15,0.001,2.0,1.0,1.5,0.0833333333333333,0.0,0.0
coex_eps1_Tr0.70,1,0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,4.0,1.0,0.7,-1.0,98,128,128,5.0,2,0.009291723045748643,0.3581443948747237,0.0,0.0,1,False,5000,0.15,0.001,2.0,1.0,1.5,0.0833333333333333,0.0,0.0
coex_eps1_Tr0.75,1,0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,4.0,1.0,0.75,-1.0,98,128,128,5.0,2,0.014522476845428447,0.3332565382689754,0.0,0.0,1,False,5000,0.15,0.001,2.0,1.0,1.5,0.0833333333333333,0.0,0.0
coex_eps1_Tr0.80,1,0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,4.0,1.0,0.8,-1.0,98,128,128,5.0,2,0.021717980359217546,0.30721253576202623,0.0,0.0,1,False,5000,0.15,0.001,2.0,1.0,1.5,0.0833333333333333,0.0,0.0
coex_eps1_Tr0.85,1,0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,4.0,1.0,0.85,-1.0,98,128,128,5.0,2,0.03157407650340464,0.2792816066098297,0.0,0.0,1,False,5000,0.15,0.001,2.0,1.0,1.5,0.0833333333333333,0.0,0.0
coex_eps1_Tr0.90,1,0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,4.0,1.0,0.9,-1.0,98,128,128,5.0,2,0.045409459970752464,0.2481079779474363,0.0,0.0,1,False,5000,0.15,0.001,2.0,1.0,1.5,0.0833333333333333,0.0,0.0
coex_eps1_Tr0.95,1,0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,4.0,1.0,0.95,-1.0,98,128,128,5.0,2,0.06659105521152069,0.21028694766209452,0.0,0.0,1,False,5000,0.15,0.001,2.0,1.0,1.5,0.0833333333333333,0.0,0.0
coex_eps2_Tr0.60,1,0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,4.0,1.0,0.6,-1.0,98,128,128,5.0,2,0.0030805179305305745,0.4062153507690336,0.0,0.0,1,False,5000,0.15,0.001,2.0,1.0,1.5,0.0833333333333333,0.0,0.0
coex_eps2_Tr0.65,1,0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,4.0,1.0,0.65,-1.0,98,128,128,5.0,2,0.005585326103382763,0.3823476500401242,0.0,0.0,1,False,5000,0.15,0.001,2.0,1.0,1.5,0.0833333333333333,0.0,0.0
coex_eps2_Tr0.70,1,0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,4.0,1.0,0.7,-1.0,98,128,128,5.0,2,0.009291723045748643,0.3581443948747237,0.0,0.0,1,False,5000,0.15,0.001,2.0,1.0,1.5,0.0833333333333333,0.0,0.0
coex_eps2_Tr0.75,1,0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,4.0,1.0,0.75,-1.0,98,128,128,5.0,2,0.014522476845428447,0.3332565382689754,0.0,0.0,1,False,5000,0.15,0.001,2.0,1.0,1.5,0.0833333333333333,0.0,0.0
coex_eps2_Tr0.80,1,0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,4.0,1.0,0.8,-1.0,98,128,128,5.0,2,0.021717980359217546,0.30721253576202623,0.0,0.0,1,False,5000,0.15,0.001,2.0,1.0,1.5,0.0833333333333333,0.0,0.0
coex_eps2_Tr0.85,1,0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,4.0,1.0,0.85,-1.0,98,128,128,5.0,2,0.03157407650340464,0.2792816066098297,0.0,0.0,1,False,5000,0.15,0.001,2.0,1.0,1.5,0.0833333333333333,0.0,0.0
coex_eps2_Tr0.90,1,0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,4.0,1.0,0.9,-1.0,98,128,128,5.0,2,0.045409459970752464,0.2481079779474363,0.0,0.0,1,False,5000,0.15,0.001,2.0,1.0,1.5,0.0833333333333333,0.0,0.0
coex_eps2_Tr0.95,1,0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,4.0,1.0,0.95,-1.0,98,128,128,5.0,2,0.06659105521152069,0.21028694766209452,0.0,0.0,1,False,5000,0.15,0.001,2.0,1.0,1.5,0.0833333333333333,0.0,0.0
