case_name,pp_mode,init_eq,tau_p_a,tau_p_b,kappa,GAB,GBA,sigmaA,epsilon_huang,k2_huang,alpha_meq,cs_a,cs_b,cs_R,cs_T,cs_G,huang_R0,huang_xc,huang_yc,huang_W,huang_init_mode,huang_rho_g,huang_rho_l,Gx,Gy,drive_mode,ENABLE_CKPT,OUTPUT_EVERY,huang_u_max,huang_psi_cut,huang_tanh_factor,huang_rho_max_init,tau_huang,Lambda_huang
laplace_eps0.00_R30,1,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,1.0,0.9,-1.0,30.0,128.0,128.0,3.0,1,0.045409459970752464,0.2481079779474363,0.0,0.0,1,False,5000,0.15,0.001,2.0,1.0,1.5,0.08333333333333333
laplace_eps0.00_R40,1,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,1.0,0.9,-1.0,40.0,128.0,128.0,3.0,1,0.045409459970752464,0.2481079779474363,0.0,0.0,1,False,5000,0.15,0.001,2.0,1.0,1.5,0.08333333333333333
laplace_eps0.00_R50,1,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,1.0,0.9,-1.0,50.0,128.0,128.0,3.0,1,0.045409459970752464,0.2481079779474363,0.0,0.0,1,False,5000,0.15,0.001,2.0,1.0,1.5,0.08333333333333333
laplace_eps0.00_R60,1,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,1.0,0.9,-1.0,60.0,128.0,128.0,3.0,1,0.045409459970752464,0.2481079779474363,0.0,0.0,1,False,5000,0.15,0.001,2.0,1.0,1.5,0.08333333333333333
laplace_eps-0.24_R30,1,0,1.0,1.0,0.0,0.0,0.0,0.0,-0.24,0.0,1.0,1.0,4.0,1.0,0.9,-1.0,30.0,128.0,128.0,3.0,1,0.045409459970752464,0.2481079779474363,0.0,0.0,1,False,5000,0.15,0.001,2.0,1.0,1.5,0.08333333333333333
laplace_eps-0.24_R40,1,0,1.0,1.0,0.0,0.0,0.0,0.0,-0.24,0.0,1.0,1.0,4.0,1.0,0.9,-1.0,40.0,128.0,128.0,3.0,1,0.045409459970752464,0.2481079779474363,0.0,0.0,1,False,5000,0.15,0.001,2.0,1.0,1.5,0.08333333333333333
laplace_eps-0.24_R50,1,0,1.0,1.0,0.0,0.0,0.0,0.0,-0.24,0.0,1.0,1.0,4.0,1.0,0.9,-1.0,50.0,128.0,128.0,3.0,1,0.045409459970752464,0.2481079779474363,0.0,0.0,1,False,5000,0.15,0.001,2.0,1.0,1.5,0.08333333333333333
laplace_eps-0.24_R60,1,0,1.0,1.0,0.0,0.0,0.0,0.0,-0.24,0.0,1.0,1.0,4.0,1.0,0.9,-1.0,60.0,128.0,128.0,3.0,1,0.045409459970752464,0.2481079779474363,0.0,0.0,1,False,5000,0.15,0.001,2.0,1.0,1.5,0.08333333333333333
laplace_eps-0.48_R30,1,0,1.0,1.0,0.0,0.0,0.0,0.0,-0.48,0.0,1.0,1.0,4.0,1.0,0.9,-1.0,30.0,128.0,128.0,3.0,1,0.045409459970752464,0.2481079779474363,0.0,0.0,1,False,5000,0.15,0.001,2.0,1.0,1.5,0.08333333333333333
laplace_eps-0.48_R40,1,0,1.0,1.0,0.0,0.0,0.0,0.0,-0.48,0.0,1.0,1.0,4.0,1.0,0.9,-1.0,40.0,128.0,128.0,3.0,1,0.045409459970752464,0.2481079779474363,0.0,0.0,1,False,5000,0.15,0.001,2.0,1.0,1.5,0.08333333333333333
laplace_eps-0.48_R50,1,0,1.0,1.0,0.0,0.0,0.0,0.0,-0.48,0.0,1.0,1.0,4.0,1.0,0.9,-1.0,50.0,128.0,128.0,3.0,1,0.045409459970752464,0.2481079779474363,0.0,0.0,1,False,5000,0.15,0.001,2.0,1.0,1.5,0.08333333333333333
laplace_eps-0.48_R60,1,0,1.0,1.0,0.0,0.0,0.0,0.0,-0.48,0.0,1.0,1.0,4.0,1.0,0.9,-1.0,60.0,128.0,128.0,3.0,1,0.045409459970752464,0.2481079779474363,0.0,0.0,1,False,5000,0.15,0.001,2.0,1.0,1.5,0.08333333333333333
laplace_eps-0.72_R30,1,0,1.0,1.0,0.0,0.0,0.0,0.0,-0.72,0.0,1.0,1.0,4.0,1.0,0.9,-1.0,30.0,128.0,128.0,3.0,1,0.045409459970752464,0.2481079779474363,0.0,0.0,1,False,5000,0.15,0.001,2.0,1.0,1.5,0.08333333333333333
laplace_eps-0.72_R40,1,0,1.0,1.0,0.0,0.0,0.0,0.0,-0.72,0.0,1.0,1.0,4.0,1.0,0.9,-1.0,40.0,128.0,128.0,3.0,1,0.045409459970752464,0.2481079779474363,0.0,0.0,1,False,5000,0.15,0.001,2.0,1.0,1.5,0.08333333333333333
laplace_eps-0.72_R50,1,0,1.0,1.0,0.0,0.0,0.0,0.0,-0.72,0.0,1.0,1.0,4.0,1.0,0.9,-1.0,50.0,128.0,128.0,3.0,1,0.045409459970752464,0.2481079779474363,0.0,0.0,1,False,5000,0.15,0.001,2.0,1.0,1.5,0.08333333333333333
laplace_eps-0.72_R60,1,0,1.0,1.0,0.0,0.0,0.0,0.0,-0.72,0.0,1.0,1.0,4.0,1.0,0.9,-1.0,60.0,128.0,128.0,3.0,1,0.045409459970752464,0.2481079779474363,0.0,0.0,1,False,5000,0.15,0.001,2.0,1.0,1.5,0.08333333333333333
laplace_eps-0.96_R30,1,0,1.0,1.0,0.0,0.0,0.0,0.0,-0.96,0.0,1.0,1.0,4.0,1.0,0.9,-1.0,30.0,128.0,128.0,3.0,1,0.045409459970752464,0.2481079779474363,0.0,0.0,1,False,5000,0.15,0.001,2.0,1.0,1.5,0.08333333333333333
