case_tag,mode,sat_max,D_box,beta,patchiness,skew,kurt,hurs,tortuosity,porosity,euler_number
case0000_clean,clean,0.0,1.958626282042343,4.928775142462045,nan,0.9425195839497471,0.43724457325943655,0.9186039796409597,0.01378891531230046,0.4954222222222222,-49.0
case0001_pf,pf,0.1,1.9383173684969994,5.284781165139704,0.002383015597920277,0.8479673665211251,0.1100052051551188,0.8821340831548944,0.017429327251758255,0.4437,-51.0
case0002_pf,pf,0.15,1.9283459976562312,5.161137403691043,0.002774127609870054,0.8847051745484827,0.26085705734827025,0.8745453140087022,0.018906936822154767,0.41835555555555554,-53.0
case0003_pf,pf,0.2,1.9170617106347168,5.322124336598174,0.0032111615546451112,0.9606350621994246,0.6724930083781304,0.8671458555910849,0.020217608876352332,0.3919666666666667,-57.0
case0004_gc,gc,0.1,1.8716622820603845,4.992488874491394,0.09058295964125561,0.949055512908894,0.39102166715543873,0.9469344022737745,0.038237999054931124,0.35884444444444447,-7.0
case0005_gc,gc,0.15,1.8555158063251191,4.888239030002927,0.04498054474708171,0.997911996047697,0.5980277908925768,0.9502544700768789,0.04310274409649777,0.3328333333333333,-10.0
case0006_gc,gc,0.2,0.0,nan,0.037895468768107544,1.0252065992040162,0.6439135299146908,nan,nan,0.0,0.0
case0007_dp,dp,0.1,1.944555367174462,4.63072446520255,0.013677130044843049,1.0823655346938728,0.8149845169128387,0.893833865333759,0.014911528682443385,0.4464111111111111,-50.0
case0008_dp,dp,0.15,1.9352681981076065,4.212774365328337,0.012855007473841554,1.2248244935633776,1.2744546439561084,0.9078112130756675,0.01581478530995377,0.41912222222222223,-52.0
case0009_dp,dp,0.2,1.9186859470644808,4.500150749823152,0.012668161434977579,1.1252459223584812,0.8797326918517911,0.9225252748157413,0.01680064929655795,0.3822,-48.0
