step,A_any,A_full,B_any,B_full,rA_any,rA_full,rB_any,rB_full,Nfluid
0,18732,18732,13496,13496,4.679958e-01,4.679958e-01,3.371808e-01,3.371808e-01,40026
5000,370,370,2648,2648,9.243991e-03,9.243991e-03,6.615700e-02,6.615700e-02,40026
10000,376,376,2222,2222,9.393894e-03,9.393894e-03,5.551392e-02,5.551392e-02,40026
15000,382,382,2019,2019,9.543797e-03,9.543797e-03,5.044221e-02,5.044221e-02,40026
20000,394,394,1898,1898,9.843602e-03,9.843602e-03,4.741918e-02,4.741918e-02,40026
25000,380,380,1834,1834,9.493829e-03,9.493829e-03,4.582022e-02,4.582022e-02,40026
30000,389,389,1734,1734,9.718683e-03,9.718683e-03,4.332184e-02,4.332184e-02,40026
35000,381,381,1735,1735,9.518813e-03,9.518813e-03,4.334682e-02,4.334682e-02,40026
40000,374,374,1726,1726,9.343926e-03,9.343926e-03,4.312197e-02,4.312197e-02,40026
45000,377,377,1676,1676,9.418878e-03,9.418878e-03,4.187278e-02,4.187278e-02,40026
50000,380,380,1591,1591,9.493829e-03,9.493829e-03,3.974916e-02,3.974916e-02,40026
55000,417,417,1667,1667,1.041823e-02,1.041823e-02,4.164793e-02,4.164793e-02,40026
60000,406,406,1576,1576,1.014341e-02,1.014341e-02,3.937441e-02,3.937441e-02,40026
65000,411,411,1678,1678,1.026833e-02,1.026833e-02,4.192275e-02,4.192275e-02,40026
70000,418,418,1606,1606,1.044321e-02,1.044321e-02,4.012392e-02,4.012392e-02,40026
75000,370,370,1581,1581,9.243991e-03,9.243991e-03,3.949933e-02,3.949933e-02,40026
80000,398,398,1527,1527,9.943537e-03,9.943537e-03,3.815020e-02,3.815020e-02,40026
85000,370,370,1486,1486,9.243991e-03,9.243991e-03,3.712587e-02,3.712587e-02,40026
90000,372,372,1481,1481,9.293959e-03,9.293959e-03,3.700095e-02,3.700095e-02,40026
95000,388,388,1470,1470,9.693699e-03,9.693699e-03,3.672613e-02,3.672613e-02,40026
100000,372,372,1490,1490,9.293959e-03,9.293959e-03,3.722580e-02,3.722580e-02,40026
105000,384,384,1452,1452,9.593764e-03,9.593764e-03,3.627642e-02,3.627642e-02,40026
110000,385,385,1467,1467,9.618748e-03,9.618748e-03,3.665118e-02,3.665118e-02,40026
115000,411,411,1436,1436,1.026833e-02,1.026833e-02,3.587668e-02,3.587668e-02,40026
120000,439,439,1409,1409,1.096787e-02,1.096787e-02,3.520212e-02,3.520212e-02,40026
125000,431,431,1423,1423,1.076800e-02,1.076800e-02,3.555189e-02,3.555189e-02,40026
130000,416,416,1423,1423,1.039324e-02,1.039324e-02,3.555189e-02,3.555189e-02,40026
135000,429,429,1341,1341,1.071803e-02,1.071803e-02,3.350322e-02,3.350322e-02,40026
